,Date / Time,City,State,Shape
0,2016-12-21 19:15:00,Waynesboro                          ,VA    ,Sphere    
2,2016-12-20 22:30:00,Santa Rosa                          ,CA    ,Sphere    
3,2016-12-20 19:00:00,Fresno                              ,CA    ,Circle    
4,2016-12-19 21:53:00,Reymert                             ,AZ    ,Circle    
5,2016-12-19 21:50:00,Redding                             ,CA    ,Light     
6,2016-12-19 20:02:00,Gilbert                             ,AZ    ,Light     
7,2016-12-19 19:02:00,Phoenix                             ,AZ    ,Circle    
8,2016-12-19 18:30:00,Huber Heights                       ,OH    ,Cylinder  
9,2016-12-19 18:00:00,Conway                              ,AR    ,Chevron   
10,2016-12-19 10:30:00,Anchorage                           ,AK    ,Circle    
11,2016-12-19 06:50:00,Town and Country                    ,MO    ,Light     
12,2016-12-19 03:30:00,Salt Lake City                      ,UT    ,Triangle  
13,2016-12-19 01:27:00,Richardson                          ,TX    ,Triangle  
15,2016-12-18 21:50:00,Berryville                          ,AR    ,Formation 
16,2016-12-18 21:15:00,Honolulu                            ,HI    ,Light     
17,2016-12-18 21:00:00,St. George                          ,UT    ,Chevron   
18,2016-12-18 20:40:00,Bend                                ,OR    ,Other     
19,2016-12-18 19:30:00,Mission                             ,KS    ,Light     
20,2016-12-18 19:00:00,Lancaster                           ,OH    ,Light     
21,2016-12-17 21:00:00,San Pedro                           ,CA    ,Other     
22,2016-12-17 20:00:00,Kahana                              ,HI    ,Fireball  
23,2016-12-17 20:00:00,San Diego                           ,CA    ,Sphere    
24,2016-12-17 19:53:00,Waipio                              ,HI    ,Circle    
25,2016-12-17 19:15:00,Ojai                                ,CA    ,Oval      
26,2016-12-17 07:30:00,Weston                              ,FL    ,Circle    
27,2016-12-17 00:08:00,Fairfield                           ,CA    ,Fireball  
28,2016-12-16 23:30:00,Rio Rancho                          ,NM    ,Fireball  
29,2016-12-16 22:20:00,Hixson                              ,TN    ,Other     
30,2016-12-16 22:00:00,Dade City                           ,FL    ,Circle    
31,2016-12-16 19:30:00,La Veta                             ,CO    ,Light     
32,2016-12-16 18:30:00,Kelso                               ,WA    ,Other     
33,2016-12-16 18:00:00,Skiatook                            ,OK    ,Light     
35,2016-12-15 21:00:00,Syracuse                            ,NY    ,Oval      
36,2016-12-15 20:30:00,Johnson City                        ,TN    ,Triangle  
37,2016-12-15 20:00:00,Davie                               ,FL    ,Egg       
38,2016-12-15 19:00:00,Winchester                          ,KS    ,Triangle  
39,2016-12-15 19:00:00,Middlefield                         ,CT    ,Light     
