,Light     ,Circle    ,Other     ,Fireball  ,Triangle  ,Sphere    ,Disk      ,Formation ,Oval      ,Changing  ,Flash     ,Rectangle ,Diamond   ,Cylinder  ,Cigar     ,Chevron   ,Teardrop  ,Cross     ,Cone      ,Egg       ,CA    ,FL    ,AZ    ,NY    ,WA    ,PA    ,TX    ,MO    ,OR    ,NC    ,TN    ,CO    ,VA    ,WI    ,MD    ,NJ    ,MN    ,NM    ,SC    ,CT    ,IL    ,NV    ,UT    ,AR    ,LA    ,MI    ,OH    ,AL    ,ME    ,IA    ,IN    ,MA    ,GA    ,VT    ,AK    ,WV    ,ID    ,KY    ,MT    ,WY    ,NE    ,OK    ,KS    ,HI    ,RI    ,NH    ,ND    ,SD    ,MS    ,DE    
January,94,54,39,38,34,27,21,20,19,14,10,9,8,8,6,6,4,2,2,1,45,26,25,21,17,16,15,14,14,13,12,12,12,11,11,10,9,9,9,8,8,8,7,6,6,6,6,5,5,5,5,5,3,3,3,3,3,3,3,3,2,2,2,2,1,1,1,0,0,0
February,98,46,16,36,48,25,8,16,7,8,21,5,1,7,9,4,4,0,5,1,32,19,38,17,14,19,15,11,12,11,10,16,11,5,6,8,4,7,3,6,9,4,1,3,3,9,10,6,2,4,4,6,5,0,4,2,6,2,4,0,0,2,3,2,2,4,1,2,1,0
March,74,49,25,44,43,21,26,19,19,9,15,8,5,3,7,2,4,2,0,2,42,28,11,13,14,15,7,5,16,13,6,21,6,8,11,12,4,7,10,7,11,3,3,3,3,10,10,6,6,2,6,12,7,2,4,3,2,5,5,1,2,2,0,1,2,5,0,0,1,4
April,76,72,21,42,36,35,24,19,19,5,6,9,4,5,11,5,4,1,2,5,43,40,13,12,13,12,14,11,7,9,5,16,9,10,6,8,9,8,13,3,18,4,3,6,3,16,13,1,6,5,7,10,12,2,0,0,3,7,2,1,0,1,2,3,2,4,1,2,2,4
May,80,52,23,30,38,25,14,21,15,11,8,7,4,3,7,6,1,4,0,1,18,32,14,23,16,15,12,4,5,18,11,15,2,16,5,8,6,6,4,5,15,3,9,1,1,7,8,3,9,4,6,4,7,0,4,4,2,3,2,0,1,5,2,1,2,7,0,2,2,1
June,73,72,18,28,30,27,7,10,20,11,11,12,7,14,9,5,2,0,2,2,26,20,12,18,15,20,9,10,5,20,6,7,7,9,4,7,8,3,6,6,16,9,6,2,2,10,19,2,3,2,6,11,10,0,2,2,13,6,4,0,0,2,5,1,2,1,2,2,1,1
July,104,65,40,72,49,30,17,16,13,15,13,12,0,7,8,5,8,2,3,2,86,18,19,19,19,12,11,5,25,21,8,14,10,14,7,15,5,5,6,3,10,15,20,0,5,8,10,7,5,1,10,11,9,2,3,2,10,4,5,2,1,2,1,3,4,4,3,1,1,0
August,100,58,29,30,41,26,17,12,21,13,11,14,3,2,10,5,2,1,0,5,44,29,11,17,17,15,9,9,11,26,8,12,5,5,9,15,5,5,4,7,14,2,6,4,4,9,15,3,4,1,7,10,13,2,3,3,9,2,2,4,3,3,3,0,3,5,1,1,1,0
September,96,52,34,29,56,24,18,16,20,9,15,11,11,6,11,7,3,2,1,5,50,28,4,17,18,17,13,6,22,18,7,21,11,5,8,9,3,7,9,3,7,4,6,4,4,15,16,3,8,0,6,16,14,1,1,2,6,4,7,0,0,6,4,3,1,1,1,4,4,2
October,111,59,32,30,46,32,19,20,12,4,3,6,13,3,7,3,11,3,5,1,40,30,29,13,17,12,16,6,11,26,14,19,12,11,10,9,6,5,6,3,9,1,5,4,3,9,11,2,4,3,4,8,10,0,3,2,3,4,1,3,2,6,10,3,1,5,0,1,8,0
November,113,55,29,34,47,20,16,20,13,15,8,7,6,6,8,11,5,3,1,3,53,28,17,17,18,16,5,9,14,16,6,17,12,15,8,8,6,2,4,3,12,2,8,1,5,8,10,2,6,5,7,7,12,3,4,1,4,5,6,1,5,5,4,1,5,6,1,3,6,1
December,53,30,14,13,21,10,13,5,7,5,5,2,1,4,3,7,1,2,0,2,18,16,11,5,9,5,3,5,6,4,6,8,5,0,5,3,4,6,2,4,5,1,2,3,3,9,4,1,2,4,2,0,6,3,3,0,1,4,1,0,0,3,5,5,1,2,0,0,2,1
